indicator_id,period,period_end,value,unit,value_text,source_name,source_url,notes
ACAD_NIH_COMPETING_RPG_AWARDS,FY2024,2024-09-30,10265,count,,NIH Nexus FY2025 By the Numbers (via search summary),https://www.grants.nih.gov/news-events/nih-extramural-nexus-news/2026/03/fiscal-year-2025-by-the-numbers-extramural-grant-investments-in-research,"55,418 applications; 10,265/55,418 = 18.5%. Attribution to this specific post is inferred from the result set"
ACAD_NIH_COMPETING_RPG_AWARDS,FY2025,2025-09-30,,text,Fewer new awards than FY2024 and higher average cost per award (more forward-funded); exact competing RPG count not surfaced,NIH Nexus FY2025 By the Numbers,https://www.grants.nih.gov/news-events/nih-extramural-nexus-news/2026/03/fiscal-year-2025-by-the-numbers-extramural-grant-investments-in-research,Same post: $35.3B total competing and noncompeting grants; more than $26.5B in RPGs
ACAD_NIH_COMPETING_RPG_PACE,FY2026-YTD-Jul,2026-07-31,-8,pct,,AAMC Tracking NIH Awards in FY 2026,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,Competitive RPGs vs FY2024 (competitive R01s -14%); assumed to be the same Jul-31 cutoff (not confirmed)
ACAD_NIH_EXTRAMURAL_OBLIGATED_YTD,FY2026-YTD-Mar,2026-03-20,5.8,USD_bn,,AAMC Tracking NIH Awards FY2026 (Oct 1-Mar 20),https://www.aamc.org/media/89376/download,Extramural funds obligated; 15% of the estimated $38B due by Sep 30; -34% vs the same period of FY2024
ACAD_NIH_EXTRAMURAL_OBLIGATED_YTD,FY2026-YTD-Jul,2026-07-31,23.3,USD_bn,,AAMC Tracking NIH Awards in FY 2026,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,Obligated to extramural research and training grants = 69% of the extramural grant budget with 2 months left
ACAD_NIH_GRANTS_VS_FY2024,FY2026-YTD-Jul,2026-07-31,-10000,count,,AAMC Tracking NIH Awards in FY 2026,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,"About 10,000 fewer grants (all types) vs the same point in FY2024"
ACAD_NIH_GRANT_COUNT_VS_HISTORY,FY2025,2025-09-30,-11.6,pct,,STAT,https://www.statnews.com/2026/04/30/nih-grant-funding-national-stat-survey-impact-labs-careers/,NIH funded 11.6% fewer grants than in previous years while spending about the same amount (multiyear upfront funding)
ACAD_NIH_GRANT_COUNT_VS_HISTORY,FY2025,2025-09-30,-24,pct,,Good Science Project (Jeremy Berg),https://goodscience.substack.com/p/understanding-and-modeling-nih-research,Number of grants funded was 24% below the prior 10-year average; Berg models MYF pushing the RPG success rate from about 19% to about 12%
ACAD_NIH_HOUSE_MARK,FY2026,2026-09-30,46.9,USD_bn,,House Appropriations Committee (via search summary),https://appropriations.house.gov/news/press-releases/committee-approves-fy26-labor-health-and-human-services-education-and-related,"H.R. 5304 (H.Rept. 119-271), committee vote 35-28 on 2025-09-09; funds all 27 ICs; ARPA-H cut to $945M"
ACAD_NIH_HOUSE_MARK,FY2026,2026-09-30,48.0,USD_bn,,ASCO,https://www.asco.org/news-initiatives/policy-news-analysis/house-appropriations-bill-maintain-federal-funding-NIH-NCI-FY2026,CONFLICT with $46.9B: described as $48B NIH base budget holding current levels. Likely a budget-authority vs program-level difference (not verified)
ACAD_NIH_HOUSE_MARK,FY2027,2027-09-30,47.4,USD_bn,,AAMC Washington Highlights,https://www.aamc.org/advocacy-policy/washington-highlights/house-subcommittee-advances-fy-2027-hhs-spending-bill,'Base funding' for NIH plus $1.5B ARPA-H; subcommittee markup 2026-06-05 (10-7)
ACAD_NIH_HOUSE_MARK,FY2027,2027-09-30,47.3,USD_bn,,Hart Health Strategies Appropriations Update,https://hhs.com/news-detail/appropriations-update-8,CONFLICT with $47.4B: full committee approved $47.3B = +$100M over FY26; committee vote 34-28 on 2026-06-09. Committee release: https://appropriations.house.gov/news/press-releases/committee-approves-fy27-labor-health-and-human-services-and-education
ACAD_NIH_IDC_CAP,2025-02,2025-02-07,15,pct,"NIH issues NOT-OD-25-068 capping the indirect-cost rate at 15% for new and existing awards, for costs on or after 2025-02-10",NIH notice NOT-OD-25-068,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-068.html,
ACAD_NIH_IDC_CAP,2025-02,2025-02-10,,text,22 state AGs sue in D. Mass.; Judge Angel Kelley issues a TRO blocking implementation,AABB,https://www.aabb.org/news-resources/news/article/2025/02/12/court-temporarily-blocks-nih-s-15--cap-on-indirect-costs-for-research-grants,
ACAD_NIH_IDC_CAP,2025-04,2025-04-04,,text,District court permanently blocks the cap nationwide,Higher Ed Dive,https://www.highereddive.com/news/judge-permanently-blocks-nihs-plan-to-cap-funding-setting-up-appeals-batt/744647/,CASRAI also dates the permanent injunction to 2025-04-04
ACAD_NIH_IDC_CAP,2026-01,2026-01-05,,text,First Circuit unanimously affirms; the cap violates the appropriations-law protection for negotiated rates (first enacted 2017),STAT,https://www.statnews.com/2026/01/05/federal-appeals-court-upholds-blocking-nih-indirect-cost-cuts/,
ACAD_NIH_IDC_CAP,2026-02,2026-02-03,,text,FY26 Consolidated Appropriations Act (P.L. 119-75 Div. B Sec. 224) renews the rider barring changes to negotiated indirect-cost rates for the full FY; explanatory statement directs talks on alternatives including the FAIR model,CRS IN12516,https://www.congress.gov/crs-product/IN12516,period_end approximate: FY2026 LHHS approval (early Feb 2026)
ACAD_NIH_IDC_CAP,2026-04,2026-04-06,,text,DOJ lets the Supreme Court cert deadline lapse; case ends with the injunction in place,STAT,https://www.statnews.com/2026/04/08/trump-administration-drops-nih-indirect-costs-court-challenge/,Also NACUBO: https://www.nacubo.org/News/2026/4/Court-Fight-Over-NIH-Indirect-Costs-Cap-Ends
ACAD_NIH_IDC_CAP,2026-04,2026-04-10,15,pct,FY27 President's budget again proposes a 15% NIH indirect-cost cap (CASRAI: also proposes dropping the LHHS rider),The Cancer Letter,https://cancerletter.com/cancer-policy/20260410_5a/,Senators pushed back at the April hearing: https://rollcall.com/2026/04/15/senators-spurn-budget-request-for-nih-overhead-cost-cap/
ACAD_NIH_IDC_CAP,2026-09,2026-09-25,,text,"Status: cap not in effect (permanently enjoined, appeal dropped); FY26 rider runs through 2026-09-30; FY27 CR to 2026-12-11. Whether the rider carries over under the CR was not confirmed",CASRAI guide,https://casrai.org/guides/nih-15-percent-indirect-cost-cap,
ACAD_NIH_MYF_COMPETING_YTD_USD,FY2026-YTD-Jul,2026-07-31,1.1,USD_bn,,AAMC Tracking NIH Awards in FY 2026,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,Competitive multiyear-funded RPGs YTD vs $556.4M at the same point in FY2025
ACAD_NIH_MYF_N,FY2024,2024-09-30,1067,count,,AAMC Multiyear Funding of NIH Research Grants,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,Multiyear-funded grants totaling $960M
ACAD_NIH_MYF_N,FY2025,2025-09-30,2000,count,"more than 2,000 multiyear-funded grants",AAMC Multiyear Funding of NIH Research Grants,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,About twice FY2024
ACAD_NIH_MYF_POLICY,2025-06,2025-06-30,50,pct,"From June 2025, 50% of remaining competing RPG funds must go to fully funded (upfront) multiyear awards",Science (AAAS),https://www.science.org/content/article/nih-research-grant-success-rates-plummeted-2025,NIH names this as a cause of the FY2025 success-rate drop; the FY2026 PBR proposed continuing the 50% policy (NIH Office of Budget overview)
ACAD_NIH_MYF_POLICY,FY2026,2026-09-30,,text,FY2026 Consolidated Appropriations Act caps NIH multiyear-award obligations at the FY2025 level,CASRAI guide,https://casrai.org/guides/nih-multiyear-lump-sum-funding-r01-fy2026-cap,Same source: the cap still means roughly 970 fewer competing awards than historical norms
ACAD_NIH_MYF_POLICY,FY2027,2027-09-30,,text,FY27 PBR proposes moving to fully fund all RPGs upfront starting in 2027,The Cancer Letter,https://cancerletter.com/cancer-policy/20260410_5a/,
ACAD_NIH_MYF_SHARE,FY2025,2025-09-30,25,pct,more than one quarter of projects multiyear-funded in 2025 vs under 10% in 2024,Good Science Project (Jeremy Berg),https://goodscience.substack.com/p/understanding-and-modeling-nih-research,
ACAD_NIH_MYF_USD,FY2024,2024-09-30,0.96,USD_bn,,AAMC Multiyear Funding of NIH Research Grants,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,
ACAD_NIH_MYF_USD,FY2025,2025-09-30,2.2,USD_bn,,AAMC Multiyear Funding of NIH Research Grants,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,= 6% of all extramural obligations
ACAD_NIH_MYF_USD,FY2025,2025-09-30,3.61,USD_bn,,Granted AI blog,https://grantedai.com/blog/nih-grant-success-rates-plummeting-multiyear-funding-2026,CONFLICT with AAMC $2.2B: = 30.1% of competing grants (FY2024 given as $1.4B = 16.2%); multiyear-funded R01s 21 (FY24) to 743 (FY25). Secondary source; definitions unclear
ACAD_NIH_NEW_AWARD_PACE,FY2026-YTD-Feb,2026-02-28,-66,pct,,AAU,https://www.aau.edu/newsroom/leading-research-universities-report/data-show-dramatic-slowdown-nih-grantmaking,Number of awards vs the FY21-24 average for the same period; OMB apportionment hold released 2026-03-16
ACAD_NIH_NEW_AWARD_PACE,FY2026-YTD-Mar,2026-03-03,-74,pct,,STAT (Johns Hopkins RePORTER analysis),https://www.statnews.com/2026/03/17/nih-grant-funding-slowdown-new-awards-training-grants/,Competitive (new) awards vs the FY2021-2024 average for the same period
ACAD_NIH_PBR,FY2027,2027-09-30,41.4,USD_bn,,NIH Office of Budget / AAMC (via search summary),https://officeofbudget.od.nih.gov/,"FY27 PBR program level; described as a $6B (13%) cut from FY26 enacted of $47.2B; would end NIMHD, Fogarty and NCCIH. AAMC statement: https://www.aamc.org/news/press-releases/aamc-statement-president-s-budget-request-fy-2027"
ACAD_NIH_PBR,FY2027,2027-09-30,41.2,USD_bn,,AAI News (via search summary),https://news.aai.org/2026/06/10/statement-house-committee-markup-fy2027-hhs-bill/,CONFLICT with $41.4B: described as a 12% cut from $47.2B. Harvard OFR describes it as nearly -$6B (-12.8%): https://ofr.harvard.edu/news/2026/04/president-trump-releases-fy27-budget-request
ACAD_NIH_PROGRAM_LEVEL,FY2019,2019-09-30,39.308,USD_bn,,CRS R43341 NIH Funding,https://www.congress.gov/crs-product/R43341,NIH total program level from the CRS R43341 series (surfaced via search summary); before ARPA-H
ACAD_NIH_PROGRAM_LEVEL,FY2022,2022-09-30,45.183,USD_bn,,CRS R43341 NIH Funding,https://www.congress.gov/crs-product/R43341,The search summary stated this figure. CRS also says FY2023 was +$3B (+6.5%) vs FY2022; that comparison only reconciles if ARPA-H is included. Verify against CRS Table 3
ACAD_NIH_PROGRAM_LEVEL,FY2023,2023-09-30,47.678,USD_bn,,CRS R43341 NIH Funding,https://www.congress.gov/crs-product/R43341,NIH program level excluding ARPA-H
ACAD_NIH_PROGRAM_LEVEL,FY2025,2025-09-30,46.995,USD_bn,,CRS R43341 NIH Funding,https://www.congress.gov/crs_external_products/R/PDF/R43341/R43341.54.pdf,FY2025 final program level excluding ARPA-H; NIH+ARPA-H ($1.5B) = $48.495B
ACAD_NIH_PROGRAM_LEVEL,FY2026,2026-09-30,47.493,USD_bn,,CRS R43341 NIH Funding FY1996-FY2026,https://www.congress.gov/crs_external_products/R/PDF/R43341/R43341.58.pdf,"Enacted via P.L. 119-75 and P.L. 119-74; CRS says +$458M (+1.0%) vs FY2025 final. NIH+ARPA-H stated as $48.933B (+0.9%). Arithmetic flag: 48.933-1.5=47.433, so one of these figures may be a transcription error; verify"
ACAD_NIH_PROGRAM_LEVEL,FY2026,2026-09-30,47.2,USD_bn,,Science (AAAS),https://www.science.org/content/article/nih-likely-award-fewer-grants-it-races-spend-2026-budget,"CONFLICT with CRS $47.493B: Science says Congress gave NIH $47.2B for FY2026, and the FY27 budget-request coverage also uses $47.2B as the FY26 enacted base. Probably a different definition (not verified)"
ACAD_NIH_R01EQ_AWARDS,FY2024,2024-09-30,7000,count,,NIH Nexus (via search summary),https://www.grants.nih.gov/news-events/nih-extramural-nexus-news/2026/03/fiscal-year-2025-by-the-numbers-extramural-grant-investments-in-research,"R01-EQUIVALENT subset only (not all RPGs); 37,478 applications"
ACAD_NIH_R01EQ_AWARDS,FY2025,2025-09-30,5471,count,,Grantsights,https://grantsights.com/blog/nih-r01-grant-success-rate-data,"R01-EQUIVALENT subset only; 42,022 applications (5,471/42,022 = 13.0%). CONFLICT: Granted AI gives 4,399 awards on 38,557 applications (11.4%, which doesn't match 13.0%): https://grantedai.com/blog/nih-grant-success-rates-plummeting-multiyear-funding-2026"
ACAD_NIH_R01EQ_INVESTIGATORS,FY2025,2025-09-30,5885,count,,Science (AAAS),https://www.science.org/content/article/nih-research-grant-success-rates-plummeted-2025,"Investigators (not awards) winning R01-equivalent grants: 7,720 in FY2024 falling to 5,885 in FY2025"
ACAD_NIH_RPG_SUCCESS_RATE,FY2019,2019-09-30,20.1,pct,,NIH Extramural Nexus FY2020 By the Numbers,https://nexus.od.nih.gov/all/2021/04/21/fy-2020-by-the-numbers-extramural-investments-in-research,All competing RPGs
ACAD_NIH_RPG_SUCCESS_RATE,FY2020,2020-09-30,20.6,pct,,NIH Extramural Nexus FY2020 By the Numbers,https://nexus.od.nih.gov/all/2021/04/21/fy-2020-by-the-numbers-extramural-investments-in-research,"R01-equivalent success rate was 21.4% (7,767 awards / 36,250 applications)"
ACAD_NIH_RPG_SUCCESS_RATE,FY2021,2021-09-30,19.1,pct,,NIH Extramural Nexus FY2021 By the Numbers,https://nexus.od.nih.gov/all/2022/03/07/fy-2021-by-the-numbers-extramural-grant-investments-in-research,
ACAD_NIH_RPG_SUCCESS_RATE,FY2022,2022-09-30,20.7,pct,,NIH Extramural Nexus FY2022 By the Numbers,https://nexus.od.nih.gov/all/2023/03/01/fy-2022-by-the-numbers-extramural-grant-investments-in-research,
ACAD_NIH_RPG_SUCCESS_RATE,FY2023,2023-09-30,21.3,pct,,NIH Extramural Nexus FY2023 By the Numbers,https://nexus.od.nih.gov/all/2024/02/21/fy-2023-by-the-numbers-extramural-grant-investments-in-research,DrugMonkey also gives 21.3%; R01-equivalent was 21.6%
ACAD_NIH_RPG_SUCCESS_RATE,FY2024,2024-09-30,18.5,pct,,DrugMonkey (citing NIH Data Book),https://drugmonkey.wordpress.com/2026/03/18/nih-finally-releases-some-fy2025-success-rate-data/,R01-equivalent was 18.7%
ACAD_NIH_RPG_SUCCESS_RATE,FY2025,2025-09-30,13.0,pct,,DrugMonkey (citing NIH Data Book),https://drugmonkey.wordpress.com/2026/03/18/nih-finally-releases-some-fy2025-success-rate-data/,R01-equivalent was also given as 13.0% in the same post; confirm the RPG figure in the Data Book (https://report.nih.gov/nihdatabook/report/20). Early-stage investigators fell from 29.8% (2023) to 18.5% (2025) per STAT: https://www.statnews.com/2025/12/18/nih-early-career-researchers-grant-success-rate-falls/
ACAD_NIH_SENATE_MARK,FY2026,2026-09-30,48.7,USD_bn,,Senate Appropriations Committee FY26 LHHS bill summary,https://www.appropriations.senate.gov/imo/media/doc/fy26_lhhs_senate_bill_summary.pdf,Committee approved 2025-07-31; +$400M vs FY2025
ACAD_NIH_TERMINATED_N,2025-04,2025-04-08,694,count,,AJMC (JAMA study coverage),https://www.ajmc.com/view/nih-grants-terminated-amid-trump-administration-raising-concerns-for-us-research-minority-health-disparities,Terminated 2025-02-28 to 2025-04-08 across 24 of 26 ICs; $1.81B total award value
ACAD_NIH_TERMINATED_N,2025-05,2025-05-05,777,count,,AAMC Impact of NIH Grant Terminations (via search summary),https://www.aamc.org/media/83356/download,U.S. institutions; $1.9B lost funding; attribution to this URL inferred from the result set
ACAD_NIH_TERMINATED_N,2025-08,2025-08-31,2291,count,,PNAS,https://www.pnas.org/doi/10.1073/pnas.2527755123,Active grants terminated Feb-Aug 2025
ACAD_NIH_TERMINATED_N,2025-11,2025-11-30,2500,count,,Science News (Grant Witness data),https://www.sciencenews.org/article/nih-nsf-cuts-2025-data,"'Nearly 2,500' NIH grants frozen or terminated; NIH+NSF about 5,300 grants and over $5B unspent; NSF over 1,300 grants and about $0.7B"
ACAD_NIH_TERMINATED_USD,2025-08,2025-08-31,2.45,USD_bn,,PNAS,https://www.pnas.org/doi/10.1073/pnas.2527755123,Rescinded out of $5.08B total award value; about 52% had already been spent at cancellation
ACAD_NIH_TERMINATED_USD,2025-08,2025-08-31,2,USD_bn,Supreme Court allowed NIH to proceed with about $2B in grant cuts,Nature,https://www.nature.com/articles/d41586-025-02721-5,Science later reported a legal adviser warning NIH not to re-terminate about 900 grants: https://www.science.org/content/article/despite-supreme-court-win-nih-may-not-quickly-kill-again-some-900-grants-sensitive
ACAD_NIH_TERMINATED_USD,2025-11,2025-11-30,2.3,USD_bn,,Science News (Grant Witness data),https://www.sciencenews.org/article/nih-nsf-cuts-2025-data,Unspent NIH funds frozen or terminated
ACAD_NIH_TERMINATED_USD,2026-05,2026-05-11,0.461,USD_bn,,Grant Witness NIH weekly report,https://grantwitness.org/reports/2026-05-11_NIH_report.html,NIH 'lost funding' based on the latest obligation data; net of reinstatements
ACAD_NIH_TERMINATED_USD,2026-06,2026-06-22,0.53,USD_bn,,Grant Witness NIH data update,https://grantwitness.org/nih/updates/2026-06-22-new-nih-award-value,"Remaining value of grants still terminated or frozen, excluding restored grants (different method from the May figure)"
BIO_FOLLOWON_COUNT_DEALFORMA_FO,2025-Q3,2025-09-30,30,count,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_FO,2025-Q4,2025-12-31,52,count,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_FO,2026-Q1,2026-03-31,38,count,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_FO_H,2026-H1,2026-06-30,78,count,,DealForma Q2 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,2025-Q2,2025-06-30,23,count,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,2025-Q3,2025-09-30,34,count,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,2025-Q4,2025-12-31,49,count,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,
BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,2026-Q1,2026-03-31,42,count,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,
BIO_FOLLOWON_USD_BIOCENTURY,2025-12,2025-12-31,4.5,USD_bn,nearly $4.5bn in a single week,BioCentury Public Equity Report,https://www.biocentury.com/article/657858/after-huge-day-more-follow-ons-lift-week-s-total-to-nearly-4-5b-public-equity-report,One December 2025 week. About a dozen public biotechs. Roughly 3x any earlier 2025 week.
BIO_FOLLOWON_USD_DEALFORMA_ALL_H,2025-H1,2025-06-30,16.4,USD_bn,117 deals,DealForma (attribution probable),https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,"LOW CONFIDENCE on scope: public equity raised in H1 2025, probably IPO + follow-on + PIPE, with follow-ons the largest share."
BIO_FOLLOWON_USD_DEALFORMA_FO,2025-Q2,2025-06-30,4.4,USD_bn,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,
BIO_FOLLOWON_USD_DEALFORMA_FO,2025-Q3,2025-09-30,5.2,USD_bn,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,30 deals.
BIO_FOLLOWON_USD_DEALFORMA_FO,2025-Q4,2025-12-31,11.5,USD_bn,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,52 deals.
BIO_FOLLOWON_USD_DEALFORMA_FO,2026-Q1,2026-03-31,8.1,USD_bn,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,"38 deals. Largest raises: Xenon $748m, Dianthus $719m, Vaxcyte $633m, Praxis $575m."
BIO_FOLLOWON_USD_DEALFORMA_FO_H,2026-H1,2026-06-30,20,USD_bn,,DealForma Q2 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/,Follow-on offerings only (PIPEs excluded). GLOBAL therapeutics & platforms. 78 issuances.
BIO_FOLLOWON_USD_DEALFORMA_PIPE,2025-Q2,2025-06-30,2.6,USD_bn,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,PIPEs only.
BIO_FOLLOWON_USD_DEALFORMA_PIPE,2025-Q3,2025-09-30,3.0,USD_bn,,DealForma Q3 2025 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/,PIPEs only.
BIO_FOLLOWON_USD_DEALFORMA_PIPE,2025-Q4,2025-12-31,4.8,USD_bn,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,PIPEs only.
BIO_FOLLOWON_USD_DEALFORMA_PIPE,2026-Q1,2026-03-31,2.9,USD_bn,,DealForma Q1 2026 IPO/Follow-on/PIPE Review,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/,PIPEs only. Global.
BIO_IPO_COUNT_BIOBUCKS_YTD,2026-YTD-Aug,2026-08-31,21,count,,BioBucks Biotech IPO Tracker 2026,https://www.biobucks.co/biotech-ipo-tracker-2026,"US-listed biotech IPOs. From the page title '21 IPOs, ~$6.5B Raised' (late-August snapshot)."
BIO_IPO_COUNT_BIOSPACE_FY,2024,2024-12-31,25,count,about 25,BioSpace,https://www.biospace.com/business/2024-a-year-of-cautious-ipos-restraint-and-breakthroughs,Most in early 2024. Most traded below offer price.
BIO_IPO_COUNT_BPDIVE,2026-Q1,2026-03-31,6,count,,BioPharma Dive,https://www.biopharmadive.com/news/biotech-ipo-performance-q1-2026/815879/,Median raise $287.5m.
BIO_IPO_COUNT_BPDIVE_FY,2021,2021-12-31,100,count,more than 100,BioPharma Dive IPO tracker,https://www.biopharmadive.com/news/biotech-ipo-performance-tracker/587604/,"Stated as 'more than 100'. An unattributed summary cites 78 biotech IPOs in 2021, a definitional difference."
BIO_IPO_COUNT_BPDIVE_FY,2022,2022-12-31,22,count,,BioPharma Dive IPO tracker,https://www.biopharmadive.com/news/biotech-ipo-performance-tracker/587604/,
BIO_IPO_COUNT_BPDIVE_FY,2023,2023-12-31,19,count,,BioPharma Dive IPO tracker,https://www.biopharmadive.com/news/biotech-ipo-performance-tracker/587604/,CONFLICT: another BioPharma Dive summary says only 11 drugmakers priced IPOs 'last year' (read as 2023). Inclusion criteria may differ.
