indicator_id,name,channel,signal_role,typical_lead,read_as,frequency,unit,series_ref,source_name,source_url,access,why_it_matters,collection
ACAD_NIH_GRANT_COUNT_VS_HISTORY,NIH grants funded in a fiscal year vs prior-year norms (pct),Academic & government,leading,1-4 qtrs,higher = bullish,annual,pct,STAT survey; Good Science Project,STAT / Good Science Project,https://www.statnews.com/2026/04/30/nih-grant-funding-national-stat-survey-impact-labs-careers/,free,Full-year volume shortfall; baselines differ (see notes).,curated
ACAD_NIH_HOUSE_MARK,NIH funding in House Appropriations LHHS bill,Academic & government,leading,3-6 qtrs,higher = bullish,annual,USD_bn,House LHHS bill,House Appropriations Committee,https://appropriations.house.gov/,free,Committee marks bracket the likely enacted number months before the fiscal year.,curated
ACAD_NIH_IDC_CAP,NIH 15% indirect-cost cap: event log,Academic & government,structural,2-6 qtrs,cap in force = bearish,event,text,NOT-OD-25-068 and litigation,NIH / courts / Congress,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-25-068.html,free,Indirect costs fund core facilities and shared instruments; a cap would hit university instrument budgets directly.,curated
ACAD_NIH_MYF_COMPETING_YTD_USD,"NIH competitive multiyear-funded RPG dollars, fiscal year to date",Academic & government,context,n/a,context (more = fewer awards),irregular (trackers),USD_bn,AAMC tracker,AAMC,https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1,free,Year-to-date version; not comparable with the full-year ACAD_NIH_MYF_USD.,curated
ACAD_NIH_MYF_N,NIH multiyear (up-front) funded awards: count,Academic & government,context,n/a,context,annual,count,AAMC analysis,AAMC,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,free,See above.,curated
ACAD_NIH_MYF_POLICY,NIH multiyear-funding policy events,Academic & government,structural,2-6 qtrs,context,event,text,"NIH notices, appropriations acts",Various,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,free,Policy switches that change award counts.,curated
ACAD_NIH_MYF_SHARE,Share of NIH projects multiyear-funded,Academic & government,context,n/a,context,annual,pct,Good Science Project,Good Science Project (J. Berg),https://goodscience.substack.com/p/understanding-and-modeling-nih-research,free,See above.,curated
ACAD_NIH_MYF_USD,NIH multiyear (up-front) funded awards: dollars,Academic & government,context,n/a,context (more = fewer awards),annual,USD_bn,AAMC analysis,AAMC,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants,free,"Up-front funding concentrates cash in fewer grants: good for funded labs' near-term spend, bad for the number of labs.",curated
ACAD_NIH_NEW_AWARD_PACE,NIH award count vs FY2021-24 average for the same point in the year (pct),Academic & government,leading,1-3 qtrs,higher = bullish,irregular (trackers),pct,AAU / STAT (Johns Hopkins) RePORTER analyses,AAU / STAT,https://www.aau.edu/newsroom/leading-research-universities-report/data-show-dramatic-slowdown-nih-grantmaking,free,Intra-year award pace: shows timing (back-loaded spend) and volume. Replace with auto ACAD_NIH_NEW_AWARDS_N once fetched.,curated
ACAD_NIH_PBR,NIH President's budget request,Academic & government,leading,4-8 qtrs,higher = bullish,annual,USD_bn,NIH Congressional Justification,NIH Office of Budget,https://officeofbudget.od.nih.gov/,free,"Sets the downside scenario; Congress has rejected deep cuts so far, but requests drive institutional caution (hiring freezes, deferred capex).",curated
ACAD_NIH_PROGRAM_LEVEL,NIH enacted program level (federal FY),Academic & government,leading,3-6 qtrs,higher = bullish,annual,USD_bn,CRS R43341 table,Congressional Research Service,https://www.congress.gov/crs-product/R43341,free,Top of the academic funding funnel. Program level excludes ARPA-H unless noted.,curated
ACAD_NIH_R01EQ_AWARDS,NIH R01-equivalent competing awards (count),Academic & government,leading,1-4 qtrs,higher = bullish,annual,count,NIH Data Book,NIH,https://report.nih.gov/nihdatabook/,free,R01s are the core independent-lab grant.,curated
ACAD_NIH_R01EQ_INVESTIGATORS,Investigators winning R01-equivalent grants (count),Academic & government,leading,1-4 qtrs,higher = bullish,annual,count,NIH Data Book,NIH,https://report.nih.gov/nihdatabook/,free,"Number of funded PIs, a proxy for active labs.",curated
ACAD_NIH_RPG_SUCCESS_RATE,NIH RPG success rate,Academic & government,leading,1-4 qtrs,higher = bullish,annual,pct,NIH Data Book,NIH,https://report.nih.gov/nihdatabook/report/20,free,Share of applications funded; falling rates mean fewer funded labs.,curated
ACAD_NIH_S10_AWARDS,NIH S10 shared/high-end instrumentation program: annual awards,Academic & government,leading,1-4 qtrs,higher = bullish,annual,USD_mn,NIH ORIP S10 program,NIH ORIP,https://orip.nih.gov/construction-and-instruments/s10-instrumentation-programs,free,Most direct academic instrument-purchase budget. GAP: not yet collected; the monthly auto series ACAD_NIH_S10_* covers it once fetched.,curated
ACAD_NIH_SENATE_MARK,NIH funding in Senate Appropriations LHHS bill,Academic & government,leading,3-6 qtrs,higher = bullish,annual,USD_bn,Senate LHHS bill,Senate Appropriations Committee,https://www.appropriations.senate.gov/,free,As above.,curated
ACAD_NIH_TERMINATED_N,NIH grants terminated or frozen (cumulative count),Academic & government,leading,0-2 qtrs,lower = bullish,irregular,count,Grant Witness / JAMA / PNAS,Grant Witness and peer-reviewed studies,https://grantwitness.org/,free,Terminations cut active lab budgets immediately; reinstatements reverse it.,curated
ACAD_NIH_TERMINATED_USD,NIH grant value terminated or frozen,Academic & government,leading,0-2 qtrs,lower = bullish,irregular,USD_bn,Grant Witness / PNAS,Grant Witness and peer-reviewed studies,https://grantwitness.org/,free,Methods differ (total award value vs unspent vs net of reinstatements); see notes.,curated
ACAD_NSF_ENACTED,NSF enacted budget (federal FY),Academic & government,leading,3-6 qtrs,higher = bullish,annual,USD_bn,NSF budget requests,NSF,https://www.nsf.gov/about/budget,free,Physical and life sciences instrumentation outside NIH. GAP: not yet collected.,curated
ACAD_NIH_NEW_AWARDS_N,NIH new (Type 1) awards by Notice of Award month: count,Academic & government,leading,1-3 qtrs,higher = bullish,monthly,count,"RePORTER API: award_types=[1], award_notice_date",NIH RePORTER API,https://api.reporter.nih.gov/,free,New grants fund new lab set-ups; the award pace is the first place appropriation changes show up.,auto
ACAD_NIH_NEW_AWARDS_USD,NIH new (Type 1) awards by Notice of Award month: dollars,Academic & government,leading,1-3 qtrs,higher = bullish,monthly,USD_mn,"RePORTER API: award_types=[1], award_notice_date",NIH RePORTER API,https://api.reporter.nih.gov/,free,As above; watch for multi-year up-front funding distorting $ per award.,auto
ACAD_NIH_S10_N,NIH S10 shared/high-end instrumentation awards: count,Academic & government,leading,1-4 qtrs,higher = bullish,monthly,count,RePORTER API: activity_codes=[S10],NIH RePORTER API,https://api.reporter.nih.gov/,free,S10 awards are earmarked to buy instruments ($50k-$2M+): the most direct academic instrument-order signal.,auto
ACAD_NIH_S10_USD,NIH S10 shared/high-end instrumentation awards: dollars,Academic & government,leading,1-4 qtrs,higher = bullish,monthly,USD_mn,RePORTER API: activity_codes=[S10],NIH RePORTER API,https://api.reporter.nih.gov/,free,See above.,auto
BIO_BELOW_CASH,Public biotechs trading below cash (count),Biotech capital,leading,1-3 qtrs,lower = bullish,irregular,count,Sell-side / press,Various,https://www.biopharmadive.com/,free,Distress gauge: below-cash companies cut R&D. GAP: not yet collected.,curated
BIO_FOLLOWON_COUNT_DEALFORMA_FO,"Public biotech follow-on / PIPE deals (count), DealForma, follow-ons only (global) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,"DealForma, follow-ons only (global)",https://dealforma.com/,free summaries,As above.,curated
BIO_FOLLOWON_COUNT_DEALFORMA_FO_H,"Public biotech follow-on / PIPE deals (count), DealForma, follow-ons only (global) [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,"DealForma, follow-ons only (global)",https://dealforma.com/,free summaries,As above.,curated
BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,"Public biotech follow-on / PIPE deals (count), DealForma, PIPEs only (global) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,"DealForma, PIPEs only (global)",https://dealforma.com/,free summaries,As above.,curated
BIO_FOLLOWON_USD_BIOCENTURY,"Public biotech follow-on / PIPE financing ($), BioCentury [weekly snapshot]",Biotech capital,leading,1-3 qtrs,higher = bullish,weekly snapshot,USD_bn,Publisher reports; see source_url per row,BioCentury,https://www.biocentury.com/,paid,The fastest-moving funding channel for public small/mid-cap biotechs.,curated
BIO_FOLLOWON_USD_DEALFORMA_ALL_H,"Public biotech follow-on / PIPE financing ($), DealForma, all public equity (scope low confidence) [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,"DealForma, all public equity (scope low confidence)",https://dealforma.com/,free summaries,The fastest-moving funding channel for public small/mid-cap biotechs.,curated
BIO_FOLLOWON_USD_DEALFORMA_FO,"Public biotech follow-on / PIPE financing ($), DealForma, follow-ons only (global) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,"DealForma, follow-ons only (global)",https://dealforma.com/,free summaries,The fastest-moving funding channel for public small/mid-cap biotechs.,curated
BIO_FOLLOWON_USD_DEALFORMA_FO_H,"Public biotech follow-on / PIPE financing ($), DealForma, follow-ons only (global) [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,"DealForma, follow-ons only (global)",https://dealforma.com/,free summaries,The fastest-moving funding channel for public small/mid-cap biotechs.,curated
BIO_FOLLOWON_USD_DEALFORMA_PIPE,"Public biotech follow-on / PIPE financing ($), DealForma, PIPEs only (global) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,"DealForma, PIPEs only (global)",https://dealforma.com/,free summaries,The fastest-moving funding channel for public small/mid-cap biotechs.,curated
BIO_IPO_COUNT_BIOBUCKS_YTD,"Biotech IPOs (count), BioBucks IPO tracker [year to date]",Biotech capital,leading,1-3 qtrs,higher = bullish,year to date,count,Publisher reports; see source_url per row,BioBucks IPO tracker,https://www.biobucks.co/biotech-ipo-tracker-2026,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_BIOSPACE_FY,"Biotech IPOs (count), BioSpace [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,BioSpace,https://www.biospace.com/,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_BPDIVE,"Biotech IPOs (count), BioPharma Dive [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_BPDIVE_FY,"Biotech IPOs (count), BioPharma Dive [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_BPDIVE_YTD,"Biotech IPOs (count), BioPharma Dive [year to date]",Biotech capital,leading,1-3 qtrs,higher = bullish,year to date,count,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_BPIQ_H,"Biotech IPOs (count), BPIQ [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,BPIQ,https://www.bpiq.com/,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_DEALFORMA,"Biotech IPOs (count), DealForma (global therapeutics & platforms) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_DEALFORMA_H,"Biotech IPOs (count), DealForma (global therapeutics & platforms) [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_GLOBALDATA_FY,"Biotech IPOs (count), GlobalData (global) [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,GlobalData (global),https://www.globaldata.com/,paid (headlines free),"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_HSBC_H,"Biotech IPOs (count), HSBC Innovation Banking [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_NASDAQNYSE_FY,"Biotech IPOs (count), Nasdaq+NYSE biopharma IPOs (attribution unverified) [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,count,Publisher reports; see source_url per row,Nasdaq+NYSE biopharma IPOs (attribution unverified),https://dealforma.com/,free summaries,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_PITCHBOOK,"Biotech IPOs (count), PitchBook [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_COUNT_UNATTRIB_YTD,"Biotech IPOs (count), Unattributed search summary (low confidence) [year to date]",Biotech capital,leading,1-3 qtrs,higher = bullish,year to date,count,Publisher reports; see source_url per row,Unattributed search summary (low confidence),https://www.biopharmadive.com/,n/a,"Open IPO window = cash to public small caps, which spend it on R&D within a few quarters; also lets VCs recycle capital.",curated
BIO_IPO_MEDIAN_USD_HSBC_FY,"Median biotech IPO size, HSBC Innovation Banking [annual]",Biotech capital,context,n/a,context,annual,USD_mn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Deal size; large IPOs skew to clinical-stage companies.,curated
BIO_IPO_MEDIAN_USD_HSBC_H,"Median biotech IPO size, HSBC Innovation Banking [half-year]",Biotech capital,context,n/a,context,half-year,USD_mn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Deal size; large IPOs skew to clinical-stage companies.,curated
BIO_IPO_USD_BIOBUCKS_YTD,"Biotech IPO proceeds ($), BioBucks IPO tracker [year to date]",Biotech capital,leading,1-3 qtrs,higher = bullish,year to date,USD_bn,Publisher reports; see source_url per row,BioBucks IPO tracker,https://www.biobucks.co/biotech-ipo-tracker-2026,free,As above.,curated
BIO_IPO_USD_BPDIVE,"Biotech IPO proceeds ($), BioPharma Dive [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,As above.,curated
BIO_IPO_USD_BPDIVE_FY,"Biotech IPO proceeds ($), BioPharma Dive [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,As above.,curated
BIO_IPO_USD_DEALFORMA,"Biotech IPO proceeds ($), DealForma (global therapeutics & platforms) [quarterly]",Biotech capital,leading,1-3 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,As above.,curated
BIO_IPO_USD_DEALFORMA_H,"Biotech IPO proceeds ($), DealForma (global therapeutics & platforms) [half-year]",Biotech capital,leading,1-3 qtrs,higher = bullish,half-year,USD_bn,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,As above.,curated
BIO_IPO_USD_GLOBALDATA_FY,"Biotech IPO proceeds ($), GlobalData (global) [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,GlobalData (global),https://www.globaldata.com/,paid (headlines free),As above.,curated
BIO_IPO_USD_NASDAQNYSE_FY,"Biotech IPO proceeds ($), Nasdaq+NYSE biopharma IPOs (attribution unverified) [annual]",Biotech capital,leading,1-3 qtrs,higher = bullish,annual,USD_bn,Publisher reports; see source_url per row,Nasdaq+NYSE biopharma IPOs (attribution unverified),https://dealforma.com/,free summaries,As above.,curated
BIO_LAB_VACANCY_BOS_CBRE,Life-science lab vacancy rate: Greater Boston (CBRE) [quarterly],Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,CBRE,https://www.cbre.com/insights/figures,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_BOS_ECAMBRIDGE,"Life-science lab vacancy rate: Greater Boston (CBRE or LPC, East Cambridge submarket (attribution unverified)) [quarterly]",Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,"CBRE or LPC, East Cambridge submarket (attribution unverified)",https://www.cbre.com/insights/figures,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_SD,San Diego life-science lab vacancy rate,Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Broker quarterly reports,CBRE / JLL / Newmark,https://www.cbre.com/insights/figures,free,Third-largest US cluster. GAP: not yet collected.,curated
BIO_LAB_VACANCY_SF_CBRE,Life-science lab vacancy rate: SF Bay Area (CBRE) [quarterly],Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,CBRE,https://www.cbre.com/insights/figures,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_SF_SAVILLS,Life-science lab vacancy rate: SF Bay Area (Savills) [quarterly],Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,Savills,https://www.savills.us/,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_US_CBRE,Life-science lab vacancy rate: US top markets (CBRE) [quarterly],Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,CBRE,https://www.cbre.com/insights/figures,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_US_CBRE_FCST,Life-science lab vacancy rate: US top markets (CBRE) [forecast],Biotech capital,context,0 (leads lab fit-out capex),context (forecast),forecast,pct,Publisher reports; see source_url per row,CBRE,https://www.cbre.com/insights/figures,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAB_VACANCY_US_JLL,Life-science lab vacancy rate: US top markets (JLL) [quarterly],Biotech capital,coincident,0 (leads lab fit-out capex),lower = bullish,quarterly,pct,Publisher reports; see source_url per row,JLL,https://www.us.jll.com/en/trends-and-insights/research,free,"Falling vacancy means new lab fit-outs, which bring whole instrument suites.",curated
BIO_LAYOFFS_FIERCE,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [quarterly]",Biotech capital,leading,0-2 qtrs,lower = bullish,quarterly,count,Publisher reports; see source_url per row,Fierce Biotech layoff tracker,https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker,free,Layoffs cut bench headcount and consumables pull-through almost immediately.,curated
BIO_LAYOFFS_FIERCE_FY,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [annual]",Biotech capital,leading,0-2 qtrs,lower = bullish,annual,count,Publisher reports; see source_url per row,Fierce Biotech layoff tracker,https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker,free,Layoffs cut bench headcount and consumables pull-through almost immediately.,curated
BIO_LAYOFFS_FIERCE_H,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [half-year]",Biotech capital,leading,0-2 qtrs,lower = bullish,half-year,count,Publisher reports; see source_url per row,Fierce Biotech layoff tracker,https://www.fiercebiotech.com/biotech/fierce-biotech-layoff-tracker,free,Layoffs cut bench headcount and consumables pull-through almost immediately.,curated
BIO_MA_COUNT_HSBC_H,"VC-backed biopharma acquisitions (count), HSBC Innovation Banking [half-year]",Biotech capital,context,n/a,context,half-year,count,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,As above.,curated
BIO_MA_MEDIAN_UPFRONT_HSBC_H,"Median upfront in VC-backed biopharma acquisitions, HSBC Innovation Banking [half-year]",Biotech capital,context,n/a,context,half-year,USD_mn,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Valuation signal for early-stage assets.,curated
BIO_MA_USD_CNBC_YTD,"Biopharma M&A deal value, CNBC [year to date]",Biotech capital,context,n/a,context (capital recycling vs. pipeline consolidation),year to date,USD_bn,Publisher reports; see source_url per row,CNBC,https://www.cnbc.com/,free,"Recycles capital to investors, but acquired programs often get consolidated and cut.",curated
BIO_MA_USD_IQVIA_FCST,"Biopharma M&A deal value, IQVIA (forecast) [forecast]",Biotech capital,context,n/a,context (forecast),forecast,USD_bn,Publisher reports; see source_url per row,IQVIA (forecast),https://www.iqvia.com/,paid (headlines free),"Recycles capital to investors, but acquired programs often get consolidated and cut.",curated
BIO_MA_USD_PITCHBOOK_VCEXITS,VC-backed biopharma exit value (M&A + IPO) (PitchBook) [quarterly],Biotech capital,leading,4-8 qtrs,higher = bullish,quarterly,USD_bn,Publisher reports; see source_url per row,PitchBook,https://pitchbook.com/news/reports,paid (headlines free),"Exits return capital to VCs, who recycle it into new companies.",curated
BIO_MA_USD_UNATTRIB,"Biopharma M&A deal value, Unattributed search summary (low confidence) [quarterly]",Biotech capital,context,n/a,context (capital recycling vs. pipeline consolidation),quarterly,USD_bn,Publisher reports; see source_url per row,Unattributed search summary (low confidence),https://www.biopharmadive.com/,n/a,"Recycles capital to investors, but acquired programs often get consolidated and cut.",curated
BIO_MA_USD_UNATTRIB_H,"Biopharma M&A deal value, Unattributed search summary (low confidence) [half-year]",Biotech capital,context,n/a,context (capital recycling vs. pipeline consolidation),half-year,USD_bn,Publisher reports; see source_url per row,Unattributed search summary (low confidence),https://www.biopharmadive.com/,n/a,"Recycles capital to investors, but acquired programs often get consolidated and cut.",curated
BIO_VC_DEALS_BPDIVE_H,"Biopharma venture deals (count), BioPharma Dive [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,BioPharma Dive,https://www.biopharmadive.com/,free,Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_DEALS_DEALFORMA,"Biopharma venture deals (count), DealForma (global therapeutics & platforms) [quarterly]",Biotech capital,leading,2-4 qtrs,higher = bullish,quarterly,count,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_DEALS_DEALFORMA_H,"Biopharma venture deals (count), DealForma (global therapeutics & platforms) [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,DealForma (global therapeutics & platforms),https://dealforma.com/,free summaries,Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
BIO_VC_DEALS_HSBC_H,"Biopharma venture deals (count), HSBC Innovation Banking [half-year]",Biotech capital,leading,2-4 qtrs,higher = bullish,half-year,count,Publisher reports; see source_url per row,HSBC Innovation Banking,https://www.hsbcinnovationbanking.com/us/en/resources,free,Deal count tracks the number of funded companies (labs) better than dollars skewed by megarounds.,curated
