channel,indicator_id,name,period,period_end,value,unit,value_text,prev_period,prev_value,change_vs_prev,rows_same_period,read_as,source_url
Academic & government,ACAD_NIH_IDC_CAP,NIH 15% indirect-cost cap: event log,2026-09,2026-09-25,,text,"Status: cap not in effect (permanently enjoined, appeal dropped); FY26 rider runs through 2026-09-30; FY27 CR to 2026-12-11. Whether the rider carries over under the CR was not confirmed",,,,1,cap in force = bearish,https://casrai.org/guides/nih-15-percent-indirect-cost-cap
Academic & government,ACAD_NIH_MYF_COMPETING_YTD_USD,"NIH competitive multiyear-funded RPG dollars, fiscal year to date",FY2026-YTD-Jul,2026-07-31,1.1,USD_bn,,,,,1,context (more = fewer awards),https://www.aamc.org/about-us/mission-areas/biomedical-research/publication/tracking-nih-awards-fy-2026-1
Academic & government,ACAD_NIH_MYF_N,NIH multiyear (up-front) funded awards: count,FY2025,2025-09-30,2000,count,"more than 2,000 multiyear-funded grants",FY2024,1067,933,1,context,https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants
Academic & government,ACAD_NIH_MYF_POLICY,NIH multiyear-funding policy events,FY2027,2027-09-30,,text,FY27 PBR proposes moving to fully fund all RPGs upfront starting in 2027,,,,1,context,https://cancerletter.com/cancer-policy/20260410_5a/
Academic & government,ACAD_NIH_MYF_SHARE,Share of NIH projects multiyear-funded,FY2025,2025-09-30,25,pct,more than one quarter of projects multiyear-funded in 2025 vs under 10% in 2024,,,,1,context,https://goodscience.substack.com/p/understanding-and-modeling-nih-research
Academic & government,ACAD_NIH_MYF_USD,NIH multiyear (up-front) funded awards: dollars,FY2025,2025-09-30,2.2,USD_bn,,FY2024,0.96,1.24,2,context (more = fewer awards),https://www.aamc.org/about-us/biomedical-research/publication/multiyear-funding-nih-research-grants
Academic & government,ACAD_NIH_NEW_AWARD_PACE,NIH award count vs FY2021-24 average for the same point in the year (pct),FY2026-YTD-Mar,2026-03-03,-74,pct,,FY2026-YTD-Feb,-66,-8,1,higher = bullish,https://www.statnews.com/2026/03/17/nih-grant-funding-slowdown-new-awards-training-grants/
Academic & government,ACAD_NIH_PBR,NIH President's budget request,FY2027,2027-09-30,41.4,USD_bn,,,,,2,higher = bullish,https://officeofbudget.od.nih.gov/
Academic & government,ACAD_NIH_PROGRAM_LEVEL,NIH enacted program level (federal FY),FY2026,2026-09-30,47.493,USD_bn,,FY2025,46.995,0.498,2,higher = bullish,https://www.congress.gov/crs_external_products/R/PDF/R43341/R43341.58.pdf
Academic & government,ACAD_NIH_R01EQ_AWARDS,NIH R01-equivalent competing awards (count),FY2025,2025-09-30,5471,count,,FY2024,7000,-1529,1,higher = bullish,https://grantsights.com/blog/nih-r01-grant-success-rate-data
Academic & government,ACAD_NIH_R01EQ_INVESTIGATORS,Investigators winning R01-equivalent grants (count),FY2025,2025-09-30,5885,count,,,,,1,higher = bullish,https://www.science.org/content/article/nih-research-grant-success-rates-plummeted-2025
Academic & government,ACAD_NIH_RPG_SUCCESS_RATE,NIH RPG success rate,FY2025,2025-09-30,13.0,pct,,FY2024,18.5,-5.5,1,higher = bullish,https://drugmonkey.wordpress.com/2026/03/18/nih-finally-releases-some-fy2025-success-rate-data/
Academic & government,ACAD_NIH_SENATE_MARK,NIH funding in Senate Appropriations LHHS bill,FY2026,2026-09-30,48.7,USD_bn,,,,,1,higher = bullish,https://www.appropriations.senate.gov/imo/media/doc/fy26_lhhs_senate_bill_summary.pdf
Academic & government,ACAD_NIH_TERMINATED_N,NIH grants terminated or frozen (cumulative count),2025-11,2025-11-30,2500,count,,2025-08,2291,209,1,lower = bullish,https://www.sciencenews.org/article/nih-nsf-cuts-2025-data
Academic & government,ACAD_NIH_TERMINATED_USD,NIH grant value terminated or frozen,2026-06,2026-06-22,0.53,USD_bn,,2026-05,0.461,0.069,1,lower = bullish,https://grantwitness.org/nih/updates/2026-06-22-new-nih-award-value
Biotech capital,BIO_FOLLOWON_COUNT_DEALFORMA_FO,"Public biotech follow-on / PIPE deals (count), DealForma, follow-ons only (global) [quarterly]",2026-Q1,2026-03-31,38,count,,2025-Q4,52,-14,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/
Biotech capital,BIO_FOLLOWON_COUNT_DEALFORMA_FO_H,"Public biotech follow-on / PIPE deals (count), DealForma, follow-ons only (global) [half-year]",2026-H1,2026-06-30,78,count,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_FOLLOWON_COUNT_DEALFORMA_PIPE,"Public biotech follow-on / PIPE deals (count), DealForma, PIPEs only (global) [quarterly]",2026-Q1,2026-03-31,42,count,,2025-Q4,49,-7,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/
Biotech capital,BIO_FOLLOWON_USD_BIOCENTURY,"Public biotech follow-on / PIPE financing ($), BioCentury [weekly snapshot]",2025-12,2025-12-31,4.5,USD_bn,nearly $4.5bn in a single week,,,,1,higher = bullish,https://www.biocentury.com/article/657858/after-huge-day-more-follow-ons-lift-week-s-total-to-nearly-4-5b-public-equity-report
Biotech capital,BIO_FOLLOWON_USD_DEALFORMA_ALL_H,"Public biotech follow-on / PIPE financing ($), DealForma, all public equity (scope low confidence) [half-year]",2025-H1,2025-06-30,16.4,USD_bn,117 deals,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platform-ipos-follow-on-and-pipe-issuances-q3-2025-review/
Biotech capital,BIO_FOLLOWON_USD_DEALFORMA_FO,"Public biotech follow-on / PIPE financing ($), DealForma, follow-ons only (global) [quarterly]",2026-Q1,2026-03-31,8.1,USD_bn,,2025-Q4,11.5,-3.4,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/
Biotech capital,BIO_FOLLOWON_USD_DEALFORMA_FO_H,"Public biotech follow-on / PIPE financing ($), DealForma, follow-ons only (global) [half-year]",2026-H1,2026-06-30,20,USD_bn,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_FOLLOWON_USD_DEALFORMA_PIPE,"Public biotech follow-on / PIPE financing ($), DealForma, PIPEs only (global) [quarterly]",2026-Q1,2026-03-31,2.9,USD_bn,,2025-Q4,4.8,-1.9,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q1-2026-review/
Biotech capital,BIO_IPO_COUNT_BIOBUCKS_YTD,"Biotech IPOs (count), BioBucks IPO tracker [year to date]",2026-YTD-Aug,2026-08-31,21,count,,,,,1,higher = bullish,https://www.biobucks.co/biotech-ipo-tracker-2026
Biotech capital,BIO_IPO_COUNT_BIOSPACE_FY,"Biotech IPOs (count), BioSpace [annual]",2024,2024-12-31,25,count,about 25,,,,1,higher = bullish,https://www.biospace.com/business/2024-a-year-of-cautious-ipos-restraint-and-breakthroughs
Biotech capital,BIO_IPO_COUNT_BPDIVE,"Biotech IPOs (count), BioPharma Dive [quarterly]",2026-Q1,2026-03-31,6,count,,,,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-ipo-performance-q1-2026/815879/
Biotech capital,BIO_IPO_COUNT_BPDIVE_FY,"Biotech IPOs (count), BioPharma Dive [annual]",2025,2025-12-31,8,count,fewest in at least five years,2023,19,-11,1,higher = bullish,https://www.biopharmadive.com/news/biotech-ipo-performance-q1-2026/815879/
Biotech capital,BIO_IPO_COUNT_BPDIVE_YTD,"Biotech IPOs (count), BioPharma Dive [year to date]",2026-YTD-Jun,2026-06-30,13,count,'baker's dozen' of venture-backed biotechs,2024-YTD-Sep,18,-5,1,higher = bullish,https://www.biopharmadive.com/news/bio-2026-ipo-biotech-performance-predictions/823474/
Biotech capital,BIO_IPO_COUNT_BPIQ_H,"Biotech IPOs (count), BPIQ [half-year]",2026-H1,2026-06-30,15,count,highest H1 since 2021,2025-H1,7,8,1,higher = bullish,https://www.bpiq.com/post/bio-pharma-ipo-market-selectively-opens-in-h1-2026
Biotech capital,BIO_IPO_COUNT_DEALFORMA,"Biotech IPOs (count), DealForma (global therapeutics & platforms) [quarterly]",2026-Q2,2026-06-30,10,count,,2026-Q1,11,-1,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_IPO_COUNT_DEALFORMA_H,"Biotech IPOs (count), DealForma (global therapeutics & platforms) [half-year]",2026-H1,2026-06-30,21,count,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_IPO_COUNT_GLOBALDATA_FY,"Biotech IPOs (count), GlobalData (global) [annual]",2024,2024-12-31,50,count,,,,,1,higher = bullish,https://mondovisione.com/media-and-resources/news/biotech-ipos-surge-684-yoy-to-852-billion-in-2024-amid-public-market-recover-2025417/
Biotech capital,BIO_IPO_COUNT_HSBC_H,"Biotech IPOs (count), HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,12,count,,,,,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_IPO_COUNT_NASDAQNYSE_FY,"Biotech IPOs (count), Nasdaq+NYSE biopharma IPOs (attribution unverified) [annual]",2024,2024-12-31,19,count,,2023,13,6,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-in-2024/
Biotech capital,BIO_IPO_COUNT_PITCHBOOK,"Biotech IPOs (count), PitchBook [quarterly]",2025-Q2,2025-06-30,0,count,no US biopharma startup IPO (first time in PitchBook data),,,,1,higher = bullish,https://pitchbook.com/news/reports/q2-2025-biopharma-vc-trends
Biotech capital,BIO_IPO_COUNT_UNATTRIB_YTD,"Biotech IPOs (count), Unattributed search summary (low confidence) [year to date]",2026-YTD-Sep,2026-09-25,25,count,most since 2021,,,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-ipo-performance-tracker/587604/
Biotech capital,BIO_IPO_MEDIAN_USD_HSBC_FY,"Median biotech IPO size, HSBC Innovation Banking [annual]",2025,2025-12-31,191,USD_mn,median IPO proceeds,,,,1,context,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_IPO_MEDIAN_USD_HSBC_H,"Median biotech IPO size, HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,344,USD_mn,median IPO proceeds,,,,1,context,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_IPO_USD_BIOBUCKS_YTD,"Biotech IPO proceeds ($), BioBucks IPO tracker [year to date]",2026-YTD-Aug,2026-08-31,6.5,USD_bn,approx.,,,,1,higher = bullish,https://www.biobucks.co/biotech-ipo-tracker-2026
Biotech capital,BIO_IPO_USD_BPDIVE,"Biotech IPO proceeds ($), BioPharma Dive [quarterly]",2026-Q1,2026-03-31,1.7,USD_bn,most of any quarter since 2021,,,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-ipo-performance-q1-2026/815879/
Biotech capital,BIO_IPO_USD_BPDIVE_FY,"Biotech IPO proceeds ($), BioPharma Dive [annual]",2025,2025-12-31,,USD_bn,full-year 2025 total below Q1 2026 proceeds (~$1.7-1.8bn),2021,15,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-ipo-performance-q1-2026/815879/
Biotech capital,BIO_IPO_USD_DEALFORMA,"Biotech IPO proceeds ($), DealForma (global therapeutics & platforms) [quarterly]",2026-Q2,2026-06-30,3.6,USD_bn,,2026-Q1,2.3,1.3,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_IPO_USD_DEALFORMA_H,"Biotech IPO proceeds ($), DealForma (global therapeutics & platforms) [half-year]",2026-H1,2026-06-30,5.9,USD_bn,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-follow-ons-and-pipes-q2-2026-review/
Biotech capital,BIO_IPO_USD_GLOBALDATA_FY,"Biotech IPO proceeds ($), GlobalData (global) [annual]",2024,2024-12-31,8.52,USD_bn,,2023,5.06,3.46,1,higher = bullish,https://mondovisione.com/media-and-resources/news/biotech-ipos-surge-684-yoy-to-852-billion-in-2024-amid-public-market-recover-2025417/
Biotech capital,BIO_IPO_USD_NASDAQNYSE_FY,"Biotech IPO proceeds ($), Nasdaq+NYSE biopharma IPOs (attribution unverified) [annual]",2024,2024-12-31,3.8,USD_bn,,2023,2.7,1.1,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-ipo-activity-in-2024/
Biotech capital,BIO_LAB_VACANCY_BOS_CBRE,Life-science lab vacancy rate: Greater Boston (CBRE) [quarterly],2026-Q2,2026-06-30,28.7,pct,,2025-Q2,26.2,2.5,1,lower = bullish,https://www.cbre.com/insights/figures/boston-metro-life-science-figures-q2-2026
Biotech capital,BIO_LAB_VACANCY_BOS_ECAMBRIDGE,"Life-science lab vacancy rate: Greater Boston (CBRE or LPC, East Cambridge submarket (attribution unverified)) [quarterly]",2026-Q2,2026-06-30,13.4,pct,,,,,1,lower = bullish,https://www.cbre.com/insights/figures/boston-metro-life-science-figures-q2-2026
Biotech capital,BIO_LAB_VACANCY_SF_CBRE,Life-science lab vacancy rate: SF Bay Area (CBRE) [quarterly],2026-Q2,2026-06-30,31.1,pct,,2026-Q1,30.7,0.4,1,lower = bullish,https://www.cbre.com/insights/figures/bay-area-life-sciences-figures-q2-2026
Biotech capital,BIO_LAB_VACANCY_SF_SAVILLS,Life-science lab vacancy rate: SF Bay Area (Savills) [quarterly],2026-Q2,2026-06-30,26.2,pct,,2025-Q2,23.1,3.1,1,lower = bullish,https://www.savills.us/research_articles/256536/392655-0
Biotech capital,BIO_LAB_VACANCY_US_CBRE,Life-science lab vacancy rate: US top markets (CBRE) [quarterly],2026-Q1,2026-03-31,23.8,pct,record,,,,2,lower = bullish,https://www.cbre.com/insights/figures/q1-2026-us-life-sciences-figures
Biotech capital,BIO_LAB_VACANCY_US_CBRE_FCST,Life-science lab vacancy rate: US top markets (CBRE) [forecast],2026,2026-12-31,22.5,pct,demand expected to lower vacancy 40 bps to 22.5%,,,,1,context (forecast),https://www.cbre.com/insights/books/us-real-estate-market-outlook-midyear-review-2026/life-sciences
Biotech capital,BIO_LAB_VACANCY_US_JLL,Life-science lab vacancy rate: US top markets (JLL) [quarterly],2026-Q1,2026-03-31,27.4,pct,,2025-Q1,25.7,1.7,1,lower = bullish,https://www.cnbc.com/2026/04/22/life-sciences-lab-real-estate-rebound.html
Biotech capital,BIO_LAYOFFS_FIERCE,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [quarterly]",2026-Q2,2026-06-30,17,count,,2026-Q1,33,-16,1,lower = bullish,https://www.fiercebiotech.com/biotech/biotechs-better-position-avoid-workforce-reductions-layoffs-continue-drop-q226
Biotech capital,BIO_LAYOFFS_FIERCE_FY,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [annual]",2025,2025-12-31,,count,+16% YoY vs 2024,2024,192,,1,lower = bullish,https://www.fiercebiotech.com/biotech/2025-numbers-layoff-rounds-rise-16-yoy
Biotech capital,BIO_LAYOFFS_FIERCE_H,"Biotech layoff rounds (count), Fierce Biotech layoff tracker [half-year]",2024-H1,2024-06-30,97,count,,,,,1,lower = bullish,https://www.fiercebiotech.com/biotech/biopharma-layoffs-first-half-year-jump-32-yoy
Biotech capital,BIO_MA_COUNT_HSBC_H,"VC-backed biopharma acquisitions (count), HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,19,count,,,,,1,context,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_MA_MEDIAN_UPFRONT_HSBC_H,"Median upfront in VC-backed biopharma acquisitions, HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,950,USD_mn,median upfront,,,,1,context,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_MA_USD_CNBC_YTD,"Biopharma M&A deal value, CNBC [year to date]",2026-YTD-Jun,2026-06-04,106,USD_bn,on track for best year since pre-Covid,,,,1,context (capital recycling vs. pipeline consolidation),https://www.cnbc.com/2026/06/04/biotech-ma-dealmaking-pharma-106-billion.html
Biotech capital,BIO_MA_USD_IQVIA_FCST,"Biopharma M&A deal value, IQVIA (forecast) [forecast]",2026,2026-12-31,,USD_bn,forecast $140-160bn (+$20-30bn in best case),,,,1,context (forecast),https://intuitionlabs.ai/articles/biopharma-ma-2026-tracker-ai-valuation
Biotech capital,BIO_MA_USD_PITCHBOOK_VCEXITS,VC-backed biopharma exit value (M&A + IPO) (PitchBook) [quarterly],2026-Q2,2026-06-30,34.4,USD_bn,record; beat the Q4 2020 peak,,,,1,higher = bullish,https://pitchbook.com/news/reports/q2-2026-biopharma-report-funding-tops-10-billion-with-record-exits
Biotech capital,BIO_MA_USD_UNATTRIB,"Biopharma M&A deal value, Unattributed search summary (low confidence) [quarterly]",2026-Q2,2026-06-30,55.1,USD_bn,48 deals,2026-Q1,65,-9.9,1,context (capital recycling vs. pipeline consolidation),https://www.morse.law/news/biopharma-industry-midpoint-2026-report/
Biotech capital,BIO_MA_USD_UNATTRIB_H,"Biopharma M&A deal value, Unattributed search summary (low confidence) [half-year]",2026-H1,2026-06-30,96,USD_bn,80 deals,,,,1,context (capital recycling vs. pipeline consolidation),https://www.morse.law/news/biopharma-industry-midpoint-2026-report/
Biotech capital,BIO_VC_DEALS_BPDIVE_H,"Biopharma venture deals (count), BioPharma Dive [half-year]",2026-H1,2026-06-30,68,count,at least 68 companies,,,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-venture-capital-funding-2026-first-half/824881/
Biotech capital,BIO_VC_DEALS_DEALFORMA,"Biopharma venture deals (count), DealForma (global therapeutics & platforms) [quarterly]",2026-Q2,2026-06-30,120,count,,2026-Q1,115,5,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-venture-funding-q2-2026-review/
Biotech capital,BIO_VC_DEALS_DEALFORMA_H,"Biopharma venture deals (count), DealForma (global therapeutics & platforms) [half-year]",2026-H1,2026-06-30,235,count,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-venture-funding-q2-2026-review/
Biotech capital,BIO_VC_DEALS_HSBC_H,"Biopharma venture deals (count), HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,314,count,,,,,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_VC_DEALS_HSBC_HC_FY,"Biopharma venture deals (count), HSBC Innovation Banking (all healthcare) [annual]",2025,2025-12-31,2167,count,,,,,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2025-annual-venture-healthcare-report
Biotech capital,BIO_VC_DEALS_PITCHBOOK,"Biopharma venture deals (count), PitchBook [quarterly]",2026-Q1,2026-03-31,265,count,,2025-Q4,374,-109,1,higher = bullish,https://pitchbook.com/news/reports/q1-2026-biopharma-vc-trends
Biotech capital,BIO_VC_DEALS_PITCHBOOK_FY,"Biopharma venture deals (count), PitchBook [annual]",2025,2025-12-31,1171,count,,2024,1091,80,1,higher = bullish,https://pitchbook.com/news/reports/q4-2025-biopharma-vc-trends
Biotech capital,BIO_VC_EARLYSTAGE_MEDIAN_PITCHBOOK_FY,"Median early-stage biopharma VC deal size, PitchBook [annual]",2025,2025-12-31,27,USD_mn,median early-stage deal,2020,15,12,1,context,https://pitchbook.com/news/reports/q4-2025-biopharma-vc-trends
Biotech capital,BIO_VC_EARLYSTAGE_SHARE_PITCHBOOK_FY,"Early-stage share of biopharma VC dollars, PitchBook [annual]",2025,2025-12-31,32,pct,,2020,44,-12,1,higher = bullish,https://pitchbook.com/news/reports/q4-2025-biopharma-vc-trends
Biotech capital,BIO_VC_SEED_DEAL_SHARE_PITCHBOOK,"Seed share of biopharma VC deals, PitchBook [quarterly]",2025-Q3,2025-09-30,14,pct,record low,,,,1,higher = bullish,https://pitchbook.com/news/reports/q3-2025-biopharma-vc-trends
Biotech capital,BIO_VC_USD_BPDIVE_H,"Biopharma venture funding ($), BioPharma Dive [half-year]",2026-H1,2026-06-30,9.1,USD_bn,more than $9.1bn,,,,1,higher = bullish,https://www.biopharmadive.com/news/biotech-venture-capital-funding-2026-first-half/824881/
Biotech capital,BIO_VC_USD_DEALFORMA,"Biopharma venture funding ($), DealForma (global therapeutics & platforms) [quarterly]",2026-Q2,2026-06-30,9.2,USD_bn,,2026-Q1,7.1,2.1,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-venture-funding-q2-2026-review/
Biotech capital,BIO_VC_USD_DEALFORMA_H,"Biopharma venture funding ($), DealForma (global therapeutics & platforms) [half-year]",2026-H1,2026-06-30,16.3,USD_bn,,,,,1,higher = bullish,https://dealforma.com/biopharma-therapeutics-and-platforms-venture-funding-q2-2026-review/
Biotech capital,BIO_VC_USD_HSBC,"Biopharma venture funding ($), HSBC Innovation Banking [quarterly]",2026-Q2,2026-06-30,9.4,USD_bn,,,,,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_VC_USD_HSBC_FY,"Biopharma venture funding ($), HSBC Innovation Banking [annual]",2025,2025-12-31,27,USD_bn,,2024,27,0,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_VC_USD_HSBC_H,"Biopharma venture funding ($), HSBC Innovation Banking [half-year]",2026-H1,2026-06-30,16,USD_bn,,,,,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_VC_USD_HSBC_HC_FCST,"Biopharma venture funding ($), HSBC Innovation Banking (all healthcare) [forecast]",2026,2026-12-31,,USD_bn,forecast $65-70bn,,,,1,context (forecast),https://www.hsbcinnovationbanking.com/us/en/resources/2026-1h-venture-healthcare-report
Biotech capital,BIO_VC_USD_HSBC_HC_FY,"Biopharma venture funding ($), HSBC Innovation Banking (all healthcare) [annual]",2025,2025-12-31,60,USD_bn,,2024,45.4,14.6,1,higher = bullish,https://www.hsbcinnovationbanking.com/us/en/resources/2025-annual-venture-healthcare-report
Biotech capital,BIO_VC_USD_PITCHBOOK,"Biopharma venture funding ($), PitchBook [quarterly]",2026-Q2,2026-06-30,10,USD_bn,topped $10bn (floor; exact figure not in summary),2026-Q1,7.2,2.8,1,higher = bullish,https://pitchbook.com/news/reports/q2-2026-biopharma-report-funding-tops-10-billion-with-record-exits
Biotech capital,BIO_VC_USD_PITCHBOOK_FY,"Biopharma venture funding ($), PitchBook [annual]",2025,2025-12-31,33.8,USD_bn,,2024,31.9,1.9,1,higher = bullish,https://pitchbook.com/news/reports/q4-2025-biopharma-vc-trends
Biotech capital,BIO_VC_USD_SYNBIOBETA,"Biopharma venture funding ($), SynBioBeta (broad biotech; low confidence, not comparable) [quarterly]",2026-Q2,2026-06-30,34.3,USD_bn,best quarter in almost two years; 4th straight quarter of growth,,,,1,higher = bullish,https://www.synbiobeta.com/read/quarterly-biotech-funding-continues-upward-in-q2-of-2026-trend-with-4th-straight-quarter-of-growth
Biotech capital,BIO_XBI_LEVEL,XBI closing price (StockAnalysis) [daily snapshot],2026-09-22,2026-09-22,161.87,price_usd,close; +2.30% (+$3.64) on the day,,,,1,higher = bullish,https://stockanalysis.com/etf/xbi/
Biotech capital,BIO_XBI_REF_LEVEL,"XBI reference levels (52-week high/low, 2021 high) (StockAnalysis) [quarterly]",52W-HIGH-to-2026-09-22,2026-09-22,165.71,price_usd,52-week high,2021-HIGH,174.79,-9.08,2,context,https://stockanalysis.com/etf/xbi/
Biotech capital,BIO_XBI_RETURN_FY,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [annual],2025,2025-12-31,35.89,pct,,2024,1.01,34.88,1,higher = bullish,https://www.financecharts.com/etfs/XBI/performance/total-return
Biotech capital,BIO_XBI_RETURN_TTM,XBI (S&P Biotech ETF) return (FinanceCharts / YCharts / StockAnalysis) [trailing 12 months],TTM-2026-09,2026-09-22,83.00,pct,12-month price change,TTM-2026-04,40.80,42.2,1,higher = bullish,https://stockanalysis.com/etf/xbi/
